mtime,AB,AL,AR,BF,BO,BV,CH,CO,CZ,DI,DL,DM,DO,DS,EF,EH,GS,H,HI,HP,HS,HT,HW,HZ,IU,JR,K,LO,NS,NU,OV,P,U,VW,XY
2021-11-01T00:00,3658887,4661816,4540266,3294766,3030587,2958911,3632770,3785460,3174332,3233678,2928361,3269620,3233310,3328931,4938869,3047105,3684875,5109530,2597313,4300926,4352139,4152811,4228365,3638497,3757390,3881919,4332402,3255589,3778839,3841104,4587623,3673138,3354872,3106261,4029770
2021-11-01T00:05,3504341,3388868,4886358,2866516,2954378,2072721,3835928,4403944,3941876,3999381,3729473,3069842,2255493,4032833,3656728,3996372,3712218,3882070,3528633,3832469,4000259,3136110,5143800,3600109,4536013,6125385,4379838,2908818,4112208,4135809,3137180,4195657,4860717,3616566,4026314
2021-11-01T00:10,3189558,4516532,3273102,3386742,3329982,2485405,3291622,4564396,2676516,3836292,5210838,3897078,2147775,5264978,2719218,3607855,2940535,4121614,3647060,3297939,4637507,3500098,3420995,2775640,3517763,3972941,3233020,3956707,4980112,4591657,3514419,4222936,4873266,2662637,3879708
2021-11-01T00:15,3343789,3948046,3064663,2929551,2883277,2942610,3293037,4173833,4156143,3176297,4101304,3814437,3967921,2472861,3830351,3144567,4746447,3692965,2755789,4545461,4207286,2883543,4278251,2915673,3732539,4118847,4256076,3189762,4809890,1870823,3474531,4274529,4950553,4231149,3191786
2021-11-01T00:20,3909801,3622732,3717975,3330617,3601227,2809528,3219133,3530875,4585510,4315000,4348562,3213826,3173437,4449501,3812020,4293089,4008660,4483759,3993443,4302426,4751214,3041955,4071569,4833343,3820084,4183481,3236908,2978965,4061102,4594838,3514560,4102422,4251067,4112090,4256552
2021-11-01T00:25,3809680,4186980,3673782,3115899,3574860,2673801,3389948,3906887,3086704,3726976,4054416,2727036,2846694,2964753,2434507,3040120,2993947,3386081,2333535,3232545,3817547,3226539,3411236,3529677,4850887,4179277,4025523,4074911,3868365,5023720,3903628,5452549,3298351,2964102,2701797
2021-11-01T00:30,2678193,2617059,4155876,2916582,2961572,4978113,2725009,4981926,4330559,4130732,3863478,3742069,3115078,3097183,3672805,2324101,4468599,3843722,2974945,4543517,3891300,4044944,1915807,3720226,3466533,5007924,3426865,3060112,5066422,3840346,3324785,4236096,4368772,2457028,4062497
2021-11-01T00:35,4414305,3740587,4263415,4014086,3499251,3346264,3460902,3007060,4678398,4079541,3612818,3158686,2504174,3273251,3464120,3872050,3738721,4222829,2571459,2764865,4366543,3555299,4097869,3543805,2337451,2884881,3836632,3654206,5202942,2884762,3891280,4059454,4384582,2461240,3648208
2021-11-01T00:40,3509405,2871075,4484797,3668880,2097298,3880216,6378299,6443146,4610222,3681275,2019137,3242495,5038493,4476324,4189495,4021835,3468120,3496307,3573054,2400248,4637835,3049237,3296016,3965746,5144319,3921491,4950586,2581621,4537153,4487722,4064841,3141267,4860134,2929549,4046041
2021-11-01T00:45,2507877,4546782,4039569,3951965,2441146,3884151,4060153,3022004,4511905,2289951,4350320,3608291,2819846,3704102,4026912,3219494,3570476,3515517,2723522,3615548,4977940,3270330,2811098,5669289,3236585,3931716,4330457,4121007,6250526,3320587,1908963,4994401,4296025,2482920,3574013
2021-11-01T00:50,5307099,4185099,3314170,3593056,3305449,2841806,2757500,4680521,2623500,4768776,3619431,2449213,3137831,4043823,4270165,5190753,3853241,2748819,2602564,3036992,3145196,3855878,3041152,3547615,3681402,2915854,4686598,3964285,3118224,3287312,3223246,4063025,4412949,3718866,3542902
2021-11-01T00:55,3158720,3096057,3088685,4328428,3250908,3010081,4361355,4075319,2843860,3883272,3880393,4127008,2932595,4180943,4570872,2559016,3144279,2634872,3769273,4580293,4948234,4464900,3635304,3328273,3365350,4889419,4533674,3368606,5207327,4621518,3564212,3791556,5134440,2852284,2477080
2021-11-01T01:00,2084199,3542662,3344796,3225955,3637282,3147369,3766859,2811100,2876675,2963611,3813341,2846817,2805549,3584929,3052538,2883183,4024337,4417755,3137638,3817755,4829590,2642832,3288961,4688183,3831944,3958307,2947293,3546407,5203924,3855482,3068788,3356094,3255398,4267656,3307822
2021-11-01T01:05,2049117,3378420,3375586,3888262,4473958,4070595,5288527,3744260,3860489,3871821,4393885,3329464,3124727,4502838,3984985,3632001,3072837,4729692,3568585,4819410,2606621,2747159,1841671,2760776,2616992,3988324,4686593,3346090,4615661,3164407,4011100,2997622,4974260,2657253,2548467
2021-11-01T01:10,3372331,4259710,4331659,3554560,4641906,2777194,5282726,5281119,3682325,4276159,3633157,3208543,3317257,5631930,2754421,2868806,5034911,4580381,4619842,4143854,5559382,4368310,3482913,2343410,3374698,3973887,4785960,3526775,3440483,4297293,5495727,3220851,6079445,3420469,3243667
2021-11-01T01:15,2819881,2580014,4249914,2991269,3551203,3244929,5107987,4442102,3127904,3747665,4272314,4025330,2211954,3619834,2733860,4320765,2416588,2870972,4064730,4063905,4448833,4374411,3722238,4160993,3241946,4207147,5908855,2875024,3689533,3461855,2996644,2581540,2676856,2907337,2444944
2021-11-01T01:20,3106828,4008273,4815120,3215732,3526441,3376679,4010289,3468236,4412579,3521946,3760748,3568020,3016427,3765516,3388839,3108298,3929226,3342470,3813675,3675736,4173613,3478703,2341593,3776457,3672606,4441433,3853027,3652501,2685037,4324052,3283870,4639716,4011757,3969509,3033007
2021-11-01T01:25,1868952,2976854,4438985,3121197,3330118,2504285,2912535,5050465,3798782,3473219,5478526,3800453,2920527,4363133,4510294,3080869,3985185,3905626,2491943,2880013,3651523,3659489,3892929,3615471,4167747,3846708,3736132,2929823,4163630,4453984,2931679,3869740,3360894,3219568,4855227
2021-11-01T01:30,4437061,4089601,2527885,3506309,3310395,2866541,4152370,3263529,1877708,3718347,2993882,2891881,3974411,3193715,3832219,5531424,4309522,2920847,2665818,3913182,4805695,3570109,2609330,2932696,4099096,4282929,4077914,2841524,3207508,3728597,4631164,3148059,3348004,1713427,1994227
2021-11-01T01:35,1908065,3192492,3542113,3436878,4081809,3909484,2877136,3530242,2792046,4417444,4808203,3390190,3404378,5051078,4497931,3952551,4614730,4304768,2921026,4435496,4402577,4668032,3732316,3315736,3773700,4563642,3596460,3274587,4446311,4365665,4788118,2550221,5011418,2545022,4182544
2021-11-01T01:40,3098187,2738505,5100028,2485709,3805862,1745565,4083726,3130655,3145851,3343579,4011072,2357036,3704736,3748600,2841814,3254174,3396937,3880576,3612506,4353931,4383616,4227161,3481694,3565705,5235559,3275524,3986332,4327132,4761948,3834340,4030633,2644486,3518294,3308161,2533266
2021-11-01T01:45,3788017,2834785,3534660,3578350,3618286,3134978,3876653,2954589,3028963,4391696,4423036,3518311,3650471,3784391,3851735,4326446,3941633,3710052,3564151,3828888,3674909,4003884,2958851,4156876,3708347,4885861,4843519,3952804,4753920,3861298,2990887,3395166,3817322,3404667,3340243
