site_name,bandwidth
12,3887717
13,4766149
27,4130934
28,4075325
78,4444845
AF,4204144
AK,4368412
Af,5011452
Ao,3348209
BI,4941097
BK,3924280
Bc,4269264
Bm,4519082
Bn,5447727
Br,3987465
C1,3638820
CI,5160582
CU,4547802
CW,3499724
D4,3108822
DE,4945419
DH,3981452
DX,4815367
DZ,4687155
De,3959824
Dg,5648199
Dk,4358279
Dz,4210605
E1,4513907
E5,4476564
EN,4383475
EQ,4604590
ET,4145785
EZ,4755575
Ey,3831347
FQ,4275909
Fa,4940102
Gs,3791155
Gv,4221144
Hj,4327977
I1,4356070
IX,5092332
IY,4184307
Ia,4174460
In,3782620
Io,4514179
It,3677334
J8,4070419
JY,4622120
Ja,4400884
Jg,4836487
Jz,5292324
K1,4316627
KY,4524225
Kc,4898950
Km,4304499
Ky,4244935
L3,4382019
Lc,4520142
Ld,4437659
Lz,4918240
M8,4482279
MZ,4035732
Mn,4194154
Mo,3501362
Ms,5616250
Mt,3565940
Mv,4101910
N2,4367685
Np,3663664
O6,4728330
OU,4351650
On,3918857
Os,4009007
PW,3681419
Pi,3255309
Ps,3989365
Qa,4901425
Qe,4988097
Qy,4579489
S9,3664762
Se,5511340
So,4199274
Sz,3934247
T8,4124830
Tr,3855065
Uh,4929444
Ur,4567905
V9,3793035
VY,4200839
VZ,4372262
Vn,4709029
Vs,3516474
W5,4972659
Wv,4925862
X4,3616952
Xh,4193875
Xs,4047452
Xt,3557752
Yq,4426544
Yx,3622464
Zv,4530390
bj,3360927
bl,4162155
bq,4555462
c4,3987639
d4,4113535
es,4153289
eu,4327984
f1,4529182
fj,4147230
fw,4331814
g9,4023415
gt,4118767
h3,4748285
hs,3337132
i1,4433569
j1,4458809
j4,4280922
k2,4365907
k8,4283234
kt,4275082
ky,3886409
lx,4148255
ly,3740782
mw,4330332
px,4963214
q2,3747439
t2,3976050
t5,4248119
tv,4960457
tz,4653955
w4,4349794
wy,5450237
z3,3863899
