mtime,AB,BF,BJ,BN,DG,DQ,EL,GN,GW,HP,HT,IJ,IQ,JZ,KN,KO,QR,S,UY,W
2021-11-01T00:00,2602529,3497421,2230964,2090514,2781207,1642929,2855640,2770958,2534186,2752005,1905788,2492549,2154556,2304005,2314610,3236537,2845227,2448298,3097981,2019892
2021-11-01T00:05,2669207,1946034,2829523,2825786,2611867,2901282,2978184,2200142,2869422,2766218,2336501,3354615,2655126,2705279,2282781,2216259,2387630,2934495,2324525,2982533
2021-11-01T00:10,2636366,1774527,3393087,3303582,2291239,2017407,1922469,2263549,2129601,1728881,1873682,3214196,2229070,2727821,2983973,2726204,3619702,2918822,2195198,2671257
2021-11-01T00:15,2492744,2661951,2051636,2112219,2777759,2514650,3260873,2348466,2502895,2766784,2536993,1976564,3128447,2198663,2427853,2884687,3882019,2900166,1890031,1090804
2021-11-01T00:20,2909273,3399219,3848245,2938517,2504596,1773154,2785491,3408755,2615478,4117422,1622962,2857944,2287921,1988774,2816551,2923397,2016258,4359177,1857824,2362453
2021-11-01T00:25,2826870,1634524,2499638,2562374,3542519,2045972,2316582,3854722,2779036,2421734,2659008,3674613,1855646,3125197,2486365,3591354,3482999,3091952,1827607,2089671
2021-11-01T00:30,2070799,3466358,3491757,1807799,3495398,3014247,1826870,2554750,2013951,2949425,2051588,3331342,2392656,2942654,2701559,2869976,3290446,3272877,2100047,3397984
2021-11-01T00:35,1201674,2258166,3270204,2088598,2655808,1642017,2715374,2962307,2610462,2395465,1657224,3151155,3222403,1980976,1614929,2132260,2900833,3025752,1927665,2676692
2021-11-01T00:40,1489204,1948953,3153571,3555644,3958051,1571471,3106791,3110869,1632197,2855421,3342070,3337329,2678943,2725750,3521308,2724144,3071991,2601937,2095584,2214726
2021-11-01T00:45,2217608,2023063,2413420,2248672,2881821,1557262,2241275,3016871,2170095,2164915,3334880,3134216,2505919,2348942,2204400,2811995,2534132,1571451,3142308,2470031
2021-11-01T00:50,3013891,1782512,2777385,2993496,3848893,2125386,2490553,2979027,2192662,2484923,2958949,2284621,3174084,2473269,2191318,3970066,3318284,3033539,1765241,2912016
2021-11-01T00:55,1405890,1714632,3639811,2396333,2786994,1459103,2064262,1911710,2498358,2592516,2939788,2728546,1549429,2837893,2588341,3942610,3895522,2615505,2096973,2756139
2021-11-01T01:00,2782449,3197812,2886398,4474711,3246154,2359602,3633910,2750384,2297676,3779572,2082932,3257034,1987293,2146023,3112957,3051403,3655823,2961026,2388043,2746763
2021-11-01T01:05,2691840,3742228,1990781,3126928,3865856,1861504,3335790,2783873,2626483,2916520,2241040,1042459,2578566,1922058,1845089,2752291,3585569,2575400,1904264,3272714
2021-11-01T01:10,1966360,2615828,3292989,2772547,2509187,2527969,2769200,3156340,3997130,3046942,2086523,2864043,2990698,3185587,3001260,3408337,4279435,1989626,2517533,1500174
2021-11-01T01:15,3048372,3111490,3003971,2572289,2945602,2411952,2439183,2464398,2449483,2997877,2635812,1599671,2191753,2370498,1867813,2742429,3006008,2566455,2128583,3101576
2021-11-01T01:20,2543794,2611667,1971611,3122668,3459216,1636225,2563448,3081763,3686074,3173952,2825736,3149701,2065550,2455706,3155849,3464190,4853291,4593300,2163262,1929680
2021-11-01T01:25,2760226,2230380,1891084,2489982,4000251,2412835,3074632,2669831,1937131,2974851,2189125,2806436,2506802,3214729,2954724,2819855,2875735,2665386,2579976,2222971
2021-11-01T01:30,1929674,2277944,3292274,3327705,1931290,2134922,2355794,1949008,3525091,2875367,2997945,3319410,3508276,2954329,2475077,2780677,2293611,3779702,1931602,1834747
2021-11-01T01:35,1965928,3315994,2567421,1716991,2787014,1744728,2770493,1355550,2998584,2362673,2679565,3185189,3110013,2075074,2395901,2415094,2754101,2359553,2170556,3360521
2021-11-01T01:40,3462300,2718803,2859337,2380275,2990745,1710227,2197889,1711326,1319125,2919057,2463223,2785659,2915193,2276095,2748885,3469253,1865904,2489838,2654908,3776807
2021-11-01T01:45,1842978,2321930,3481385,3337636,3584635,1625653,4050215,1906295,4058356,2862975,2351889,2675752,1816370,2724746,2378439,3963572,4186201,2115715,2030872,2819542
2021-11-01T01:50,3118295,2686508,2854838,3077660,2637379,1176859,3691052,2923856,2615243,3702100,2307148,3520787,2799208,1439157,3304263,3079161,3803887,3163553,1952441,3790360
2021-11-01T01:55,2754133,2651640,2520607,2558993,3206607,2107827,2178113,2918648,2261344,2963755,3174027,2191156,3599564,2935281,3069621,2398554,3790271,2781951,3099776,2093007
2021-11-01T02:00,2731939,2738754,3053596,2673264,3115418,2313285,3829987,2501126,2858937,1777610,2144585,1687968,2750214,4293106,2710252,2793010,3231431,3313940,1788246,2491302
2021-11-01T02:05,3268951,2327490,3459707,2986787,3750414,1885072,3316311,2163430,2307338,4017461,1936620,2382818,3720537,1240722,2346948,3371794,3526053,2211457,2637713,2709959
2021-11-01T02:10,2049001,2059348,3749160,1988612,3644308,1186590,2546780,3410725,2140251,3067714,2000649,2667596,2447813,2242454,2216035,1763065,3895682,2728193,2414054,2908698
2021-11-01T02:15,3179558,2800956,2847974,2791296,3544435,2131792,2434236,2922891,2736985,4131542,3019808,2215410,2187282,2594131,3115095,2788443,2955976,3296996,2135671,3145071
2021-11-01T02:20,1520423,2877283,2556465,3123667,4296676,1376928,2771796,2279162,3434660,4361115,2577908,2110356,2484286,1981825,1978025,4016080,3507776,4245801,2004624,1764954
2021-11-01T02:25,2316585,3420668,3532636,2944879,3494127,1711677,2713870,1536570,3908563,3483043,1773917,3692638,2208891,2651306,2309692,3526452,4798808,3268279,2013511,2016558
2021-11-01T02:30,2649846,2167062,4246456,1877665,3257539,2656579,3280633,2622909,3023219,3687917,1785903,2973761,2083398,3577114,3225531,2996225,3657896,2317388,2085855,1935242
2021-11-01T02:35,3315868,2610670,2873612,2836213,3454123,1991273,2793999,1561571,2315916,2798238,2901376,2998201,2997559,3045389,3174181,2425573,5238818,4177935,1786752,2512555
2021-11-01T02:40,2370241,1732333,2534149,2571805,2580095,2775209,3675180,2921146,2537684,1965902,2837283,2377579,2460443,2004427,3101191,3851858,3576896,2115647,2613981,1702583
2021-11-01T02:45,2447056,1873583,3008618,1655734,3556014,2425264,2511749,2985394,2237086,2336686,2963438,2724765,2095381,3106934,2094863,3075668,3454026,2964264,3128888,2947862
2021-11-01T02:50,3081421,2635962,3125028,2996499,2751060,1863284,1866256,2797294,3080243,2998204,2807429,3879501,2803677,2844199,2218142,4584785,4193684,3372739,1326288,1587116
2021-11-01T02:55,2739161,1739861,3239700,2592243,3094473,1709732,2702281,1971388,2228922,2930766,1404985,2254318,1727813,2488429,2839102,3633464,3044414,3254486,2784188,1981394
2021-11-01T03:00,2780774,4466330,4188770,3147785,2537854,3050575,3718214,2523195,3963375,3560366,2428054,2134737,2772777,4132355,2614258,2507936,2913344,2584397,2224022,3237220
2021-11-01T03:05,2637830,3573581,2896846,3227036,3622592,2021195,3762349,2827371,3003643,3345351,1872685,2418692,1548393,2365881,2612354,2523517,3064623,3005264,1952317,1497591
2021-11-01T03:10,3291485,2598629,3070033,3745402,4035891,2289150,2658991,1832049,3807532,3058585,2800232,3490542,1919880,3441883,2538798,3056654,3309895,4042154,2420678,2625420
2021-11-01T03:15,2778416,1665476,3583172,2007714,2144099,1615317,3166027,3608082,2834233,3530740,2875278,2830710,1839794,3420314,2193475,3209118,3032179,2092339,2663327,1975491
2021-11-01T03:20,2869283,1439256,3198471,3382829,2140179,1697686,4151739,2189021,2210155,2410453,1974303,2447118,1514373,3021237,2783268,2896344,3671261,2148508,1982846,2027373
2021-11-01T03:25,1872192,1745606,3193401,2660010,3163745,1840033,2128221,3083376,2998690,2163986,2416110,2790070,2212850,1694633,2376327,2753112,1251274,4666718,2254245,2879974
2021-11-01T03:30,1749543,1512140,3754769,3187454,2867365,2284295,3006074,1328083,4423505,2766681,3965280,2572675,2244570,2397053,2600796,2360580,4657291,2485385,1963135,2124167
2021-11-01T03:35,3014404,2161898,3082241,2684997,2888575,2583912,2099877,1695146,2949135,3331364,1873713,2179068,2419197,3263194,3105690,3514554,2709577,2606637,2567522,3763546
2021-11-01T03:40,2440826,2328425,3415627,2203673,2629209,1921795,2437173,2413688,2505714,3284497,2583704,2029373,2086632,1771158,3406944,5170818,2715294,2177965,4167760,2948092
2021-11-01T03:45,2804512,2181670,2978249,2355022,2538197,2354267,3289585,2540586,1994995,2459925,2034911,3240652,2835029,998209,1567012,3008482,3651879,2631034,2018772,2469860
2021-11-01T03:50,3457776,2869380,3716189,3317008,2349356,2177847,3308132,2539015,2241894,2528115,2462229,2219495,1575302,1710558,2455371,3474209,1409304,2740390,2073015,3030803
2021-11-01T03:55,2862408,3416066,2678035,2405674,3723941,3629370,3692306,1845449,3107158,2082547,3184337,2348030,2308267,2751932,2978359,2987545,2765067,2675769,2385756,2431284
2021-11-01T04:00,2029749,2127083,3069136,1437657,2438564,2931371,3291123,2737395,3225135,2291848,2140410,2270524,1454039,2141844,2195009,2889127,3784946,2859522,1193009,3171246
2021-11-01T04:05,2767018,3720527,2164763,3203019,2883792,1836778,3085917,2042473,2740498,2280388,3431823,3011831,1830647,2572890,4010153,3580320,3625658,2095768,2091313,1835081
2021-11-01T04:10,2067938,1807837,3413556,3297518,2642515,1787042,2263406,1569358,3492479,3081821,2602677,2423990,2223421,2718508,1423073,3261713,3082200,3555625,2610805,1963796
2021-11-01T04:15,2986599,2491233,4039988,3200914,3961829,923393,3829828,2748052,3163258,3476555,3057230,2481247,2972865,2857939,2551120,2459182,3807188,3331701,2628150,1982965
2021-11-01T04:20,2079864,3435475,3039383,3121303,2877235,2382047,4023460,1703998,3272342,3503467,1755944,3443004,2663056,3571097,3933000,3670916,3215222,3220746,2309201,2287057
2021-11-01T04:25,2399376,2394311,2102936,2020241,2925636,2016044,3037689,2740030,2274977,3153160,2945456,3050201,2701377,2412324,2269022,2189108,3902472,3063000,1587593,2594066
2021-11-01T04:30,2510890,1945804,2040893,2733699,1687857,2657231,1911529,2073059,2120597,3038146,1645493,2594061,2892615,3313350,2321357,2170553,3728095,3818408,1712646,2958829
2021-11-01T04:35,2672768,2487726,2893337,2150178,2662625,3979073,3696258,2535321,3420034,3141118,2910209,1727214,2943555,3396368,3084633,1643627,2439194,3452371,2369183,2497979
2021-11-01T04:40,2603643,1985693,3118381,1814153,3535071,1664923,2434443,1238006,2406284,2573773,2883279,2952807,3428008,2680151,3305518,3539317,4166965,3637682,2636182,3536646
2021-11-01T04:45,2738654,2226563,2610813,3028445,2768231,1726960,3154362,2395758,2512939,2780904,1925901,2943981,1668492,2907463,3996318,2747760,3900617,2513274,1736195,2389311
2021-11-01T04:50,3819560,1085200,2372737,2615204,3317812,1757801,3379807,2076005,1900153,3611770,2066994,2894710,2557208,3032942,2549583,3648080,4516205,2654083,3031899,2023523
2021-11-01T04:55,3432725,1617566,2530806,1394544,1972517,1665635,2318926,2285234,2586646,2850917,2911909,2629499,2812984,3202184,2485705,4344532,3442261,2233840,1253619,2935303
2021-11-01T05:00,2469701,2014798,3024145,2048738,4087345,2728025,2426700,2094205,2268943,3538808,2424567,3544091,2402275,3182349,2496112,2835478,5195412,3227718,2536960,3327161
2021-11-01T05:05,1538566,2284602,2686795,2982412,3681136,1733669,3704454,2191683,3318005,3437852,2683425,4009160,2191805,2156485,3590152,3626426,3543349,3413914,2316420,2944773
2021-11-01T05:10,3302795,2648913,2950617,2577459,3420522,2098723,2201883,2470358,2823091,2509692,1552583,2716811,2527021,2194599,2231260,2561621,3453203,1248995,2353998,2452562
2021-11-01T05:15,2110802,1956340,2264540,2312813,2360235,1623348,2232473,2187161,2769991,3864394,2848295,3144568,2935086,3257716,3110084,3225728,4119826,2084954,2316039,4271919
2021-11-01T05:20,2624856,2914251,2134051,2702127,3865715,2496589,2452654,2765603,2777756,2161782,2253974,3312497,1682440,1916885,3326816,3242494,3493216,1866162,2225366,1827374
2021-11-01T05:25,2529756,2892408,3387835,2219106,3906091,3609625,2226681,2461504,2249033,3215677,2134930,3662603,2419502,3302344,2419809,3215448,4869876,3244127,3179207,2560698
