mtime,AC,AL,AP,BJ,BQ,BS,BU,CG,CZ,DL,DU,DV,EM,EQ,FK,FZ,GH,GM,HI,HL,IL,IQ,IR,IV,KL,KX,L,LR,N,NO,QW,TU,TY,VX,WZ
2021-11-01T00:00,2819859,3467508,2865294,2293759,2702755,3065316,2329839,3032156,2336791,2165460,2316024,1561532,3058883,2247973,3430674,3195386,1918761,2325106,2716485,1397939,1676094,2457575,2562011,2289506,4446496,3130940,1748822,1545277,2940741,3699979,2865221,2646769,3805355,2904141,1908858
2021-11-01T00:05,2854687,1937556,3087187,2738729,2683604,3991976,2456337,3195853,2493914,1640099,2408120,2243259,2838556,1976134,2174769,2898443,1599842,2308101,2002232,1377320,1935689,2210908,2947701,1991819,4005408,2266845,1841576,1953194,3250444,2978261,3285150,4534900,2293041,2648568,1945198
2021-11-01T00:10,2692908,1587704,2614083,2540463,3478888,3200536,2147807,2686207,3024416,2557760,2358543,3045305,3035257,2533484,3613936,2589029,526642,1825078,2662919,1613419,1665436,2581134,2262458,2264831,3609399,1786150,1417340,1754621,3258357,2247366,2549698,3304788,1600909,1878599,2386413
2021-11-01T00:15,3169481,1415255,1583043,3402883,1495122,2957822,2893529,2716559,1360829,2263949,1769506,3067063,3365130,3453444,2458276,2782594,2198871,2132181,1311687,2079804,1998868,2000606,3022907,2569714,3036134,2308787,2915101,1771448,2189781,2967196,2457725,3203419,3271027,1445713,2538694
2021-11-01T00:20,2520320,2219611,2810728,3010027,1787633,2342700,2632920,2815625,2994933,1906353,1552029,3375954,3920138,3390797,3285953,3637646,2597493,2162430,1645146,1922610,2031591,2283005,3027841,1931424,3047827,2415419,3528327,1183236,3237520,2726699,3144530,2570208,1688776,1346993,1185352
2021-11-01T00:25,1404018,2209239,1831984,2258631,2454190,3030239,3066847,2638379,3671602,1450265,1561459,1522128,3056571,2409435,2256434,1631192,2390936,2985169,2959391,2409357,2090814,4311214,3539317,1227782,3618138,2723616,2821366,1875738,2419783,4099076,2805995,2432223,2310181,2114764,1493404
2021-11-01T00:30,1468596,2369011,2183257,2132445,1829974,3365956,2856015,4150623,3808267,2487844,2216948,1379827,2563275,2389459,1912918,3480900,3033884,3112466,2624893,2788373,1545538,1562918,2036884,1515113,3377139,3681640,3130192,2140175,1954627,3312782,1723608,2578489,2088819,1612459,1913224
2021-11-01T00:35,1788659,2050920,1831921,2728863,2808100,3448879,3031198,3214749,2365436,1865415,2358981,827975,3034657,1897364,2388138,2410238,1590471,2893486,2016069,1754783,1074110,2548948,4379180,1377189,5080285,3004728,2392045,1871948,1607436,2784643,2897550,2527811,3199354,2671154,2145332
2021-11-01T00:40,2724577,2225485,1412945,2631100,2001632,3300818,2420617,3270128,2179467,2880505,2471853,2437241,2614299,1803768,2141733,2832975,1892236,2644161,2961157,1807266,2453097,1485395,2896195,1686268,3468512,2275631,2339443,1717009,2386475,2242701,2808648,2061428,2812148,3403243,2561461
2021-11-01T00:45,780338,3053390,976178,2387402,2500930,2469297,1987920,3467017,2100993,2205606,1667129,1835190,2140473,2739419,2507481,2995096,1520934,3032704,1892101,1532065,1898221,3088013,1568346,1930216,2715580,2933289,2623081,2599161,2367178,3021214,3219250,1960664,2487271,2277575,2352358
2021-11-01T00:50,2347632,1415861,2135900,2601319,2112371,1877846,2456112,2476312,2470015,2260778,2604811,1081968,3551151,2551849,2648022,2352758,2667384,2084957,3098978,2046934,2582670,3156800,3270722,2070012,3527635,2829371,2302020,2075634,2651910,2516333,2518959,3119599,2162713,2896731,2166447
