mtime,AD,AF,BG,BO,CR,CS,CV,DR,DV,DW,EN,GL,GP,GU,HL,HM,IO,IW,IY,JK,JL,LM,LP,LQ,M,MT,MX,NP,NS,QR,QT,S,SZ
2021-11-01T00:00,3510941,3346074,2648827,3358956,3375919,3793351,1609344,4649931,2363177,2697389,3026473,1684144,2904661,3968141,4222673,3629967,3378107,2459292,2568660,2603013,3326620,2698790,3928112,3715755,3574451,3058325,3370411,5299130,2941996,2394090,2792408,1953781,3049597
2021-11-01T00:05,2787516,3496755,2648803,2897471,2771995,2614788,2526416,3153134,3685555,2192742,2312366,3349605,1035529,2443520,4468176,4236845,2032922,1206663,2414168,3523549,2775539,3872470,3025773,3275691,3318208,3955126,3575572,4593228,2031761,2105658,3916363,2852853,3031043
2021-11-01T00:10,1734651,3902065,2746007,2310265,3588469,3399120,2820120,2438900,3438238,2729683,3537211,3235947,3535893,3104821,3582385,2971741,2226776,2240076,2893524,3892553,3389396,2982791,3596502,2796833,2285097,2848025,3106189,4326359,2565853,2398688,2981301,2850113,2480026
2021-11-01T00:15,2275613,3426134,2640280,4248239,2498195,2650875,2785515,3144197,3512063,2830855,3270965,1023163,2686043,4339104,3618407,2678606,2724752,3315391,1834679,3317629,2969860,3491287,2267458,3011980,2913625,3968408,3497731,4805257,2514874,2043850,3737165,2107087,3889489
2021-11-01T00:20,3875035,3619638,2728799,2140878,2688204,3218936,2572086,2755448,3418294,3764243,3244599,2374015,2873330,3272091,2668874,1858270,3328962,1843055,2083627,2907987,2489948,3096285,2794957,4324989,3070070,2756324,2325505,5106900,1504344,1739665,2327136,2784297,3220239
2021-11-01T00:25,2129305,3063417,3154077,3637035,3309867,1401211,2477917,2746723,3087863,3203477,2499357,2972293,2677953,2584486,4517470,3360303,2620066,3255824,1848327,2998853,2241201,3698840,2092341,2938724,2482599,2125359,2281859,4336459,1107760,2808946,3272242,3852015,3084487
2021-11-01T00:30,2129794,3676040,2970031,2304258,3727883,2950007,2136026,3430343,3599927,3654683,2955530,2613239,2806635,2970656,4521907,3045679,3053245,2296298,3964957,3522468,2895626,3817095,3212550,3271254,3277800,1463761,2484671,3728325,2236590,2637814,3618051,3182083,2496970
2021-11-01T00:35,2785734,3134049,3610762,2366631,2667767,2619146,2907382,3287153,2604917,2454168,3614609,2965034,3737909,2938047,4368292,4472531,2691237,2049216,2706446,4052799,3182023,3285330,3010757,2906686,2830374,1863406,3397003,3319395,1614623,2539527,3177145,3860179,3172556
2021-11-01T00:40,2922062,4691574,3978729,2346474,3268647,3237899,1429567,4326299,3668067,3591514,2252345,2633922,3696417,3906971,4257359,2330104,2501038,2003894,3157565,3835029,2698540,3178208,2485952,4100972,2442900,2838820,2902087,3773966,2624846,2170587,3153067,2746438,3440651
2021-11-01T00:45,2407609,3504591,4120366,1778191,3372307,3566052,2236276,2955772,2936701,2717445,2510852,2718091,3062845,3313742,4068046,2597204,2391836,2256845,2470899,3337222,2175569,4200525,2973758,3751205,2728014,1566274,2728869,4648113,2812448,1922139,3301197,3938008,3174271
