mtime,AI,AM,AP,BS,BT,CI,CR,CU,CZ,DO,DT,DU,DV,E,EV,EY,GK,IJ,JR,JS,JX,KN,KS,KT,KV,LQ,LT,M,NO,NR,NW,Q,RW,UV,Y
2021-11-01T00:00,1357312,3458265,3562667,3869854,4932615,4127968,3532971,3159133,3163742,4537835,2259606,4621563,3077032,3549111,3408809,2592715,4747109,3176982,4382314,3714896,2628997,2885047,3436220,3532374,3743146,4011583,2379859,3467354,4439188,3701530,3742420,2474696,3407837,3785579,4081808
2021-11-01T00:05,3311254,3078044,3348005,2644739,4038466,2270172,4833155,3692411,4208376,3633057,4321806,3902474,3675923,3800729,4505308,3727172,3201306,2390154,3042268,3752847,4277821,2850531,3292713,2111364,4093162,4460756,2584305,3965461,2488142,3808649,4064483,2953588,4039254,3877897,4304013
2021-11-01T00:10,3519672,1942990,2920248,4188143,4260065,3375118,2618009,5192832,2626215,4854465,3629095,3921106,4858163,4775744,3642496,3818735,6139409,3853492,2406671,3368788,3259925,2984472,3762516,3007937,4583317,4850826,2788588,4294736,3312160,3330077,4000805,3472941,3510704,4208475,2937018
2021-11-01T00:15,3769620,2537773,4624162,4588488,3143457,5079132,3774631,4254369,2243954,3798010,4045076,4428367,4738523,3883764,3686288,4511503,3099004,2568959,4593245,3630614,3561465,3470379,3026412,3938665,4307400,5470402,3135937,3163074,3334591,3609514,2778892,3479771,4835542,3549553,3170777
2021-11-01T00:20,2511941,4185214,5131980,3819427,3559910,4202359,3820828,3186603,3615452,2995767,3075051,2429420,2892458,3185557,3419749,3054445,3164299,3980735,3016097,2876640,3944111,2930136,3721137,3928104,3897452,5820714,4613122,2562565,2633503,3840476,3534267,3088330,3979466,2711860,3503748
2021-11-01T00:25,3066106,2961707,3295481,2420641,3726883,3157030,4785547,4684432,3480145,2720966,4342934,3184505,4214085,3256066,4152189,3878067,3766086,4206137,3691657,3494143,2651959,3191994,3738578,3151671,4427818,3235475,3858008,2668342,3104209,4442022,5105128,2433811,4136419,3659659,3175645
2021-11-01T00:30,4911371,2319957,3671494,4924271,3592903,3062468,2350656,5779043,3382630,3816449,4063087,4137722,3966731,4276988,2753138,3369264,3140252,4226388,3277305,3123101,2924454,2545730,3164684,4241613,4620357,3977926,3789119,4415808,4160752,3708996,3810439,3479825,4986517,3093088,4416181
2021-11-01T00:35,2453132,3328424,3793451,4298783,4187874,4128500,2669941,3153168,2858842,3215754,3414073,2720483,4206120,4228928,3225274,4014479,3698765,2939625,4833708,4452530,3948784,2838417,5527818,2971976,5040479,4467654,2120738,3495067,4254367,4243308,4765047,4529114,3756693,3626839,2799968
2021-11-01T00:40,2996062,3209346,3620107,2625257,4268780,3503974,4276931,4938539,2776964,3441624,3244837,4184263,3807999,4043074,4337768,3076406,3190645,4820133,4799020,2582434,3092588,3039364,3556095,2947228,5702410,5959624,2665237,3342149,4007290,3149936,4142809,3189263,2658174,3655815,3313979
2021-11-01T00:45,4273283,2725133,5329714,3619065,4293916,4450753,3466859,4034708,4083260,4789286,3353853,4249564,3997315,2984363,4394176,3988745,2567816,3037725,4047807,3166424,3074767,2955789,3934470,3542711,4417955,4872186,3819510,3532640,3546100,4067503,3038170,4297986,4209920,3366742,3535620
2021-11-01T00:50,3781808,3700574,3112132,2936804,2711027,4658751,4061822,6043052,3387035,3515268,2956830,3874630,3086242,4028467,3271424,2350021,4790028,4134255,4932922,3373475,4036136,4162842,3368927,2940926,4628327,4459880,3761774,4362691,2515195,4677855,3963966,2765599,5037134,4120690,2595310
2021-11-01T00:55,2118584,4118703,2825875,3809349,2902966,3257406,3418921,4791583,3319818,5309209,2711312,3104431,4205880,3778939,4070848,3876709,5725690,3070228,4180769,3306883,2281700,3544319,2231821,4304524,4268577,4462063,2793954,2101537,2755825,3556284,3411855,3769736,3611251,4105019,3510856
2021-11-01T01:00,3796190,2704312,4605700,4470950,3313247,3452338,6125596,3462397,4005201,3552758,4496212,4402055,5415027,4029589,3724199,1833342,4105847,3706918,4083144,2670021,3153365,2923866,4142707,1830844,3451006,4487262,2439597,2067387,3552934,3342605,4840060,3428268,3047722,2141303,3874299
2021-11-01T01:05,3007846,2967422,4363338,3227733,3946361,4392978,3908629,4469376,4153177,2980131,3931551,5470850,3197640,3052464,5062267,2761799,4109386,5190074,4071376,3483075,2819556,3744115,3987708,1824218,3317713,3263323,3928476,4082884,3218022,4575567,3919480,3064197,4301216,3689368,3253785
2021-11-01T01:10,3836468,2236927,4849917,2528935,2903771,4628060,4936706,3700560,2914054,3550360,3128041,4312314,4430234,2556279,3599502,3380871,3496322,4098245,3131754,4052187,2927359,3755725,3672707,3752604,4145120,5468086,1997229,2544334,2758842,2845274,4817221,2078032,3950968,4259392,3408063
2021-11-01T01:15,3052562,4132134,3230734,3586564,1992531,3340796,3044541,3922038,2795083,3913902,3393729,3653570,3570999,3611549,4657610,5411070,4059471,3360553,2078356,3507385,4427319,2415433,3964765,3317969,3621086,3506959,3827216,3752323,2542759,3510616,3617218,2669810,3402798,2994301,2924571
2021-11-01T01:20,2844755,3515202,3548124,4845514,4173115,2788847,2600175,4561344,2320873,3483684,2533578,3090835,4731524,3341078,3005732,2628749,5295076,2508928,3442483,3620699,3966721,3704141,3815748,3509200,3393175,4985147,4942735,2341105,3618649,4459222,2646132,4376849,4559160,5756150,3189214
2021-11-01T01:25,3805114,4368186,3049643,5183851,4355262,5845028,3131295,4296482,4189057,3209302,3566829,4427911,3503623,3686471,3322846,4801778,4650820,3364675,5136518,3652957,2964165,3284246,3141732,2324294,3774114,4237666,3575018,2658898,3578839,4349827,4780448,3231599,4968642,3971949,4080025
2021-11-01T01:30,2625325,2137758,5251610,5128784,5369322,2994822,4417160,3790411,3722673,2138143,3186951,3432010,2697115,2245225,3410349,3970353,4178914,3511903,3910313,2540824,3327838,2884790,4200564,3092163,2921993,5892217,3361819,2363364,3307252,3489901,4483559,3474425,4245723,4257934,3169641
