mtime,BL,BM,BQ,BU,CO,DS,DW,EP,F,FQ,FT,GP,HI,HL,HP,HY,IO,IP,J,JO,K,KL,LU,NO,NQ,NR,NS,OQ,OY,PQ,QT,QU,RS,SZ,XY
2021-11-01T00:00,2922201,3081188,5124565,2613226,3394778,2871838,2814066,3812124,3531094,3689947,3476175,2083992,4079273,3412893,2268662,3020074,3503436,4048984,4804018,3798804,3654787,2969617,2727365,3811072,3205616,4235903,4688786,3373397,5287518,3856356,4513306,4110332,3582835,3671419,3589588
2021-11-01T00:05,5365172,4997401,3815585,2454170,3721486,3161673,3245073,2605821,3135677,1755814,3941302,2692823,3098580,4096903,3503370,3407688,2798818,3428156,4419132,3445701,4386127,2762736,3674495,3861307,2712343,4903187,2392304,4555733,4613041,3292360,2342907,3923540,3077135,3300099,4047831
2021-11-01T00:10,3531609,3586479,5148927,3135982,3662975,3406010,4150060,3324050,2811847,3184865,3552332,4633787,3198122,3075804,2918672,2978164,4321250,3828948,4262765,3957068,3043375,3050417,4373256,4555779,2219956,4229452,3582087,4601761,4964817,2796211,3987706,2194057,5075758,3058379,5532491
2021-11-01T00:15,3847775,2693022,2635013,3030312,3592460,4447353,2974715,2699461,3853781,3770050,4112267,3209009,3839785,3462673,2103582,2001938,3794755,3935661,3338060,3905482,2967925,2759393,2362238,4236698,2800816,3895046,4007181,4973569,4993778,3167355,3479271,3351644,3696526,2152031,3469147
2021-11-01T00:20,3778222,3013141,4512301,3427437,3400076,2688345,4550557,2546386,4038233,2485688,3601253,3677006,2811150,2870503,2380990,2467111,4107374,5870322,4422166,3012656,3190029,4835569,4512733,3856759,3283482,3800472,3747960,4302148,3500980,4302420,3739696,2763733,3466998,4637979,3489241
2021-11-01T00:25,2929012,2888152,2951556,1820227,4635590,3315260,3820923,3531377,2608116,4364468,4246347,3495212,3284967,4336621,2555315,3976627,4336672,2806326,2981540,3377040,3791305,2398976,2520374,4270654,3697111,4975659,2157562,4681738,4073130,3400282,4100478,4442891,3394098,2789643,3974402
2021-11-01T00:30,5112981,4506263,5220650,2192712,3843930,4730175,3900256,2947725,2854031,4224423,2741681,4047896,3604660,3120714,3850322,2303358,4819941,3141942,3461096,2210309,3870728,3525513,2934482,4364155,3871296,4005601,3295474,6388645,2552542,1969405,2902675,3001347,3990322,4269209,3850341
2021-11-01T00:35,4014394,3175905,5117492,2349983,4672690,2979421,3875350,2427502,3416240,1854837,3298227,2672997,3290361,3209256,3066080,2938071,2726742,3901634,3599797,2588355,4230961,3710294,3995849,3712422,3867966,4058229,2296798,3974577,2855700,3050885,3930526,4144253,1974384,2739036,2297801
2021-11-01T00:40,3808725,3345342,5190908,3389126,3321447,3674749,3872437,3276923,3120397,3136539,4747901,3661712,2593138,4107436,3088854,2333500,3678546,3277758,4405458,2817046,4132980,3580170,3012010,4013062,2810401,3950027,4156396,2638713,3730724,2916514,3709873,2475525,2646589,3635429,4398837
2021-11-01T00:45,4213781,4663161,3536230,2062644,3826265,3223238,4768037,3455306,3085934,2713842,2840091,4940584,2785048,5114997,2923577,2672996,2828545,3516515,4074547,3907097,3459682,3873335,3416541,4049409,3598012,4539097,3787964,5596279,5614489,3093974,2918952,4234259,2713262,2482882,5367551
2021-11-01T00:50,4036410,6159026,3180172,2855629,3704834,3054856,3862007,3547043,4067088,3564509,4429052,3224542,3822662,4003942,2253678,3762658,4130185,2942914,3691764,2972113,4099337,4326504,3324391,3741160,3215288,3168874,2935864,4134470,3759864,3415331,5599675,3082535,2834222,3100868,4910256
2021-11-01T00:55,3220996,4679920,4397604,2455604,3022277,5038403,3232320,2793973,3065600,3036587,3519132,4480114,3298089,3267061,3581459,4055307,2771413,4348654,5230372,3634907,3422153,4510205,4362506,4174778,4049627,2761576,2145436,5266212,4078540,4210926,3195637,3453861,2850344,4176491,3244904
