site_name,bandwidth
18,7497150
38,7970684
45,7093154
48,9750080
A9,7490014
AG,9797214
Ac,8997440
Ae,8100464
Ak,6968570
Av,9618050
BD,9712127
BQ,8152727
Bb,6914797
Bq,7352317
Ck,9354824
Co,9214250
Cw,9603554
D8,5311427
DL,7527454
Ds,9365730
Du,6730037
Dz,8924300
E3,7467664
EK,6509544
EM,10200324
Ep,7871230
Ew,8266747
Ey,7358454
F8,7647604
Fw,10630614
H3,9748537
HN,7890000
Hm,7200947
Ho,8427387
Hp,8717347
IN,8409317
IR,8108184
Ix,8042627
JR,7392520
JZ,8895267
Je,8933710
Jg,6790440
Jh,9870460
Jm,8806170
Ke,7954710
LN,7987460
Ls,7083127
M6,8234117
M7,7227190
M8,8817167
M9,9040017
MO,8044127
Mb,8496937
Mg,8763560
Mz,8604170
N8,8197980
Ob,8318177
Od,7519307
PT,8651770
PX,9068074
PZ,8538077
Pk,8878747
Pr,9400110
Q6,8723630
Qp,8319887
Qr,5967354
Qt,6960117
Qz,9024484
R5,9670417
RS,6254124
RT,7362860
Rc,6170234
Rl,9943770
S1,9494790
S7,9587244
S9,9260180
ST,7598850
Sd,9189000
Su,9907614
T5,6818327
TZ,10671317
Tq,7827864
Tz,9511700
U5,9396124
Wa,7465317
Wv,9169534
Wy,8062514
Wz,7821550
X6,6781310
Xu,5630894
Y6,8203590
Yb,9003820
Ye,8829307
Ym,8970704
Yp,10276790
Zh,10159007
Zp,7116330
a1,9101330
b3,7947107
c9,8843940
cx,9983034
dg,7325464
dh,9408737
dq,8582744
dy,8743104
e3,7607267
ek,7444717
er,7191950
ev,8159764
g3,7640167
h2,6664730
h6,8461550
hw,8383270
ij,8207660
io,9160884
j6,8629340
k5,7432330
k7,6143624
kr,7629700
ky,10065107
nr,7245987
oq,9340080
p3,7333490
pw,6792904
qr,10475157
qw,7827037
qz,8545637
rt,7723344
u3,6637140
uw,8008970
v8,7764050
vz,8525167
w2,8194100
yz,9144307
z2,7951790
